2020-10-18,185,4297
2020-10-19,293,4590
2020-10-20,362,4952
2020-10-21,398,5350
2020-10-22,467,5817
2020-10-23,478,6295
2020-10-24,375,6670
2020-10-25,291,6961
2020-10-26,711,7672
2020-10-27,767,8439
2020-10-28,664,9103
2020-10-29,658,9761
2020-10-30,698,10459
2020-10-31,422,10881
2020-11-01,337,11218
2020-11-02,868,12086
2020-11-03,826,12912
2020-11-04,702,13614
2020-11-05,687,14301
2020-11-06,566,14867
2020-11-07,398,15265
2020-11-08,307,15572
2020-11-09,605,16177
2020-11-10,609,16786
2020-11-11,443,17229
2020-11-12,393,17622
2020-11-13,386,18008
2020-11-14,216,18224
2020-11-15,140,18364
2020-11-16,327,18691
2020-11-17,268,18959
2020-11-18,227,19186
2020-11-19,165,19351
2020-11-20,187,19538
2020-11-21,104,19642
2020-11-22,84,19726
2020-11-23,191,19917
2020-11-24,134,20051
2020-11-25,140,20191
2020-11-26,110,20301
2020-11-27,109,20410
2020-11-28,74,20484
2020-11-29,50,20534
2020-11-30,188,20722
2020-12-01,129,20851
2020-12-02,109,20960
2020-12-03,119,21079
2020-12-04,127,21206
2020-12-05,69,21275
2020-12-06,58,21333
2020-12-07,107,21440
2020-12-08,88,21528
2020-12-09,123,21651
2020-12-10,105,21756
2020-12-11,108,21864
2020-12-12,67,21931
2020-12-13,60,21991
2020-12-14,142,22133
2020-12-15,91,22224
2020-12-16,83,22307
2020-12-17,83,22390
2020-12-18,65,22455
2020-12-19,74,22529
2020-12-20,49,22578
2020-12-21,102,22680
2020-12-22,108,22788
2020-12-23,95,22883
2020-12-24,69,22952
2020-12-25,39,22991
2020-12-26,61,23052
2020-12-27,44,23096
2020-12-28,85,23181
2020-12-29,81,23262
2020-12-30,83,23345
2020-12-31,81,23426
2021-01-01,43,23469
2021-01-02,87,23556
2021-01-03,65,23621
2021-01-04,141,23762
2021-01-05,123,23885
2021-01-06,88,23973
2021-01-07,74,24047
2021-01-08,99,24146
2021-01-09,58,24204
2021-01-10,39,24243
2021-01-11,89,24332
2021-01-12,95,24427
2021-01-13,80,24507
2021-01-14,91,24598
2021-01-15,67,24665
2021-01-16,48,24713
2021-01-17,45,24758
2021-01-18,99,24857
2021-01-19,84,24941
2021-01-20,81,25022
2021-01-21,73,25095
2021-01-22,75,25170
2021-01-23,54,25224
2021-01-24,45,25269
2021-01-25,95,25364
2021-01-26,92,25456
2021-01-27,94,25550
2021-01-28,79,25629
2021-01-29,74,25703
2021-01-30,56,25759
2021-01-31,37,25796
2021-02-01,112,25908
2021-02-02,88,25996
2021-02-03,93,26089
2021-02-04,74,26163
2021-02-05,86,26249
2021-02-06,42,26291
2021-02-07,37,26328
2021-02-08,78,26406
2021-02-09,54,26460
2021-02-10,48,26508
2021-02-11,62,26570
2021-02-12,42,26612
2021-02-13,39,26651
2021-02-14,12,26663
2021-02-15,51,26714
2021-02-16,43,26757
2021-02-17,43,26800
2021-02-18,44,26844
2021-02-19,38,26882
2021-02-20,33,26915
2021-02-21,19,26934
2021-02-22,90,27024
2021-02-23,54,27078
2021-02-24,51,27129
2021-02-25,55,27184
2021-02-26,42,27226
2021-02-27,41,27267
2021-02-28,32,27299
2021-03-01,63,27362
2021-03-02,65,27427
2021-03-03,51,27478
2021-03-04,51,27529
2021-03-05,66,27595
2021-03-06,48,27643
2021-03-07,29,27672
2021-03-08,56,27728
2021-03-09,60,27788
2021-03-10,62,27850
2021-03-11,39,27889
2021-03-12,59,27948
2021-03-13,36,27984
2021-03-14,20,28004
2021-03-15,94,28098
2021-03-16,54,28152
2021-03-17,89,28241
2021-03-18,64,28305
2021-03-19,54,28359
2021-03-20,44,28403
2021-03-21,36,28439
2021-03-22,87,28526
2021-03-23,65,28591
2021-03-24,62,28653
2021-03-25,75,28728
2021-03-26,74,28802
2021-03-27,35,28837
2021-03-28,33,28870
2021-03-29,70,28940
2021-03-30,38,28978
2021-03-31,46,29024
2021-04-01,56,29080
2021-04-02,40,29120
2021-04-03,37,29157
2021-04-04,22,29179
2021-04-05,46,29225
2021-04-06,60,29285
2021-04-07,66,29351
2021-04-08,61,29412
2021-04-09,71,29483
2021-04-10,48,29531
2021-04-11,28,29559
2021-04-12,78,29637
2021-04-13,68,29705
2021-04-14,85,29790
2021-04-15,59,29849
2021-04-16,77,29926
2021-04-17,53,29979
2021-04-18,34,30013
2021-04-19,66,30079
2021-04-20,81,30160
2021-04-21,76,30236
2021-04-22,78,30314
2021-04-23,69,30383
2021-04-24,57,30440
2021-04-25,40,30480
2021-04-26,82,30562
2021-04-27,64,30626
2021-04-28,82,30708
2021-04-29,75,30783
2021-04-30,49,30832
2021-05-01,48,30880
2021-05-02,24,30904
2021-05-03,62,30966
2021-05-04,56,31022
2021-05-05,62,31084
2021-05-06,32,31116
2021-05-07,62,31178
2021-05-08,44,31222
2021-05-09,41,31263
2021-05-10,59,31322
2021-05-11,66,31388
2021-05-12,52,31440
2021-05-13,41,31481
2021-05-14,55,31536
2021-05-15,35,31571
2021-05-16,35,31606
2021-05-17,67,31673
2021-05-18,55,31728
2021-05-19,42,31770
2021-05-20,46,31816
2021-05-21,43,31859
2021-05-22,32,31891
2021-05-23,17,31908
2021-05-24,31,31939
2021-05-25,49,31988
2021-05-26,44,32032
2021-05-27,41,32073
2021-05-28,31,32104
2021-05-29,31,32135
2021-05-30,26,32161
2021-05-31,43,32204
2021-06-01,28,32232
2021-06-02,27,32259
2021-06-03,19,32278
2021-06-04,23,32301
2021-06-05,15,32316
2021-06-06,13,32329
2021-06-07,38,32367
2021-06-08,33,32400
2021-06-09,19,32419
2021-06-10,13,32432
2021-06-11,19,32451
2021-06-12,12,32463
2021-06-13,4,32467
2021-06-14,16,32483
2021-06-15,8,32491
2021-06-16,2,32493
2021-06-17,12,32505
2021-06-18,12,32517
2021-06-19,3,32520
2021-06-20,3,32523
2021-06-21,4,32527
2021-06-22,8,32535
2021-06-23,4,32539
2021-06-24,6,32545
2021-06-25,1,32546
2021-06-26,2,32548
2021-06-27,1,32549
2021-06-28,5,32554
2021-06-29,1,32555
2021-06-30,3,32558
2021-07-01,2,32560
2021-07-02,1,32561
2021-07-03,5,32566
2021-07-04,0,32566
2021-07-05,10,32576
2021-07-06,5,32581
2021-07-07,5,32586
2021-07-08,2,32588
2021-07-09,3,32591
2021-07-10,4,32595
2021-07-11,6,32601
2021-07-12,8,32609
2021-07-13,6,32615
2021-07-14,9,32624
2021-07-15,12,32636
2021-07-16,15,32651
2021-07-17,8,32659
2021-07-18,17,32676
2021-07-19,14,32690
2021-07-20,15,32705
2021-07-21,10,32715
2021-07-22,15,32730
2021-07-23,18,32748
2021-07-24,13,32761
2021-07-25,5,32766
2021-07-26,18,32784
2021-07-27,15,32799
2021-07-28,24,32823
2021-07-29,20,32843
2021-07-30,13,32856
2021-07-31,22,32878
2021-08-01,19,32897
2021-08-02,31,32928
2021-08-03,35,32963
2021-08-04,40,33003
2021-08-05,32,33035
2021-08-06,44,33079
2021-08-07,45,33124
2021-08-08,34,33158
2021-08-09,57,33215
2021-08-10,66,33281
2021-08-11,56,33337
2021-08-12,44,33381
2021-08-13,43,33424
2021-08-14,51,33475
2021-08-15,46,33521
2021-08-16,87,33608
2021-08-17,82,33690
2021-08-18,80,33770
2021-08-19,54,33824
2021-08-20,97,33921
2021-08-21,55,33976
2021-08-22,51,34027
2021-08-23,108,34135
2021-08-24,83,34218
2021-08-25,78,34296
2021-08-26,71,34367
2021-08-27,47,34414
2021-08-28,49,34463
2021-08-29,48,34511
2021-08-30,96,34607
2021-08-31,87,34694
2021-09-01,70,34764
2021-09-02,61,34825
2021-09-03,73,34898
2021-09-04,48,34946
2021-09-05,40,34986
2021-09-06,85,35071
2021-09-07,111,35182
2021-09-08,113,35295
2021-09-09,106,35401
2021-09-10,92,35493
2021-09-11,75,35568
2021-09-12,48,35616
2021-09-13,89,35705
2021-09-14,86,35791
2021-09-15,90,35881
2021-09-16,75,35956
2021-09-17,71,36027
2021-09-18,50,36077
2021-09-19,24,36101
2021-09-20,80,36181
2021-09-21,67,36248
2021-09-22,52,36300
2021-09-23,45,36345
2021-09-24,43,36388
2021-09-25,22,36410
2021-09-26,18,36428
2021-09-27,48,36476
2021-09-28,33,36509
2021-09-29,43,36552
2021-09-30,42,36594
